id,name,username,email,sesion_1,trabajo_1,sesiones_asistidas,sesiones_en_vivo,sesiones_grabacion,trabajos_entregados,pct_asistencia,pct_entrega,primera_actividad,ultima_actividad
12,Francisco Javier Lozada,flozada757,flozada757@uady.mx,SIN ASISTENCIA,0,0,0,0,0,0.0,0.0,2024-02-07T02:15:10.090132,2024-04-01T01:26:31.627829
13,Jaqueline Domínguez,jdomínguez90,jdomínguez90@itmerida.mx,GRABACIÓN,1,1,0,1,1,100.0,100.0,2024-02-06T11:14:20.288646,2024-03-30T23:33:39.540318
14,Margarita Tamez,mtamez916,mtamez916@outlook.com,EN VIVO,1,1,1,0,1,100.0,100.0,2024-02-05T22:48:55.564674,2024-03-31T01:03:36.695251
15,Indira Barrientos,ibarrientos56,ibarrientos56@hotmail.com,EN VIVO,0,1,1,0,0,100.0,0.0,2024-02-03T23:40:17.323622,2024-04-01T16:12:05.798545
16,Zacarías Ozuna,zozuna885,zozuna885@hotmail.com,EN VIVO,1,1,1,0,1,100.0,100.0,2024-02-05T02:09:19.198120,2024-04-02T14:22:08.293461
17,Maximiliano Villalobos,mvillalobos294,mvillalobos294@uady.mx,GRABACIÓN,1,1,0,1,1,100.0,100.0,2024-02-06T12:46:45.715731,2024-03-31T10:17:22.904905
18,Nicolás Leiva,nleiva389,nleiva389@outlook.com,SIN ASISTENCIA,0,0,0,0,0,0.0,0.0,2024-02-07T07:02:36.384680,2024-04-01T04:02:53.582165
19,Eloisa Moreno,emoreno728,emoreno728@gmail.com,EN VIVO,1,1,1,0,1,100.0,100.0,2024-02-05T03:00:51.849433,2024-04-01T15:37:24.675519
20,Flavio Guzmán,fguzmán756,fguzmán756@hotmail.com,EN VIVO,1,1,1,0,1,100.0,100.0,2024-02-04T00:59:08.917097,2024-03-31T13:12:44.267424
21,Eduardo Quintero,equintero398,equintero398@outlook.com,GRABACIÓN,1,1,0,1,1,100.0,100.0,2024-02-04T00:47:50.429178,2024-03-31T09:39:50.157602
22,Nicolás de la Crúz,ndelacrúz873,ndelacrúz873@gmail.com,GRABACIÓN,0,1,0,1,0,100.0,0.0,2024-02-05T01:54:29.432288,2024-03-30T20:42:34.216012
23,María Teresa Ruiz,mruiz834,mruiz834@outlook.com,EN VIVO,0,1,1,0,0,100.0,0.0,2024-02-07T11:05:27.288957,2024-04-02T02:54:32.042499
24,Jacobo Báez,jbáez77,jbáez77@hotmail.com,GRABACIÓN,1,1,0,1,1,100.0,100.0,2024-02-04T04:15:39.260199,2024-03-30T12:08:02.279960
25,Mónica Villegas,mvillegas681,mvillegas681@uady.mx,EN VIVO,1,1,1,0,1,100.0,100.0,2024-02-06T08:45:00.092987,2024-04-01T10:46:59.927971
26,Marisol Camarillo,mcamarillo156,mcamarillo156@outlook.com,GRABACIÓN,1,1,0,1,1,100.0,100.0,2024-02-07T06:15:42.432153,2024-03-31T06:00:43.125059
27,Tomás Tafoya,ttafoya772,ttafoya772@itmerida.mx,SIN ASISTENCIA,1,0,0,0,1,0.0,100.0,2024-02-05T03:22:08.092617,2024-04-01T18:03:44.777891
28,Sandra Jaime,sjaime448,sjaime448@itmerida.mx,GRABACIÓN,1,1,0,1,1,100.0,100.0,2024-02-06T22:13:50.234309,2024-04-02T23:08:41.531365
29,Francisco Javier Benítez,fbenítez234,fbenítez234@hotmail.com,EN VIVO,1,1,1,0,1,100.0,100.0,2024-02-04T23:36:38.047878,2024-04-02T10:29:35.684522
30,Araceli Gaitán,agaitán783,agaitán783@gmail.com,GRABACIÓN,0,1,0,1,0,100.0,0.0,2024-02-06T02:59:18.290586,2024-03-31T18:12:34.335881
31,Jacinto Granado,jgranado652,jgranado652@hotmail.com,SIN ASISTENCIA,1,0,0,0,1,0.0,100.0,2024-02-04T15:46:37.579318,2024-03-31T21:01:45.146391
32,Flavio Olivas,folivas75,folivas75@uady.mx,EN VIVO,1,1,1,0,1,100.0,100.0,2024-02-06T23:44:55.858111,2024-04-02T10:05:59.187478
33,Claudia Terán,cterán489,cterán489@itmerida.mx,GRABACIÓN,0,1,0,1,0,100.0,0.0,2024-02-04T21:33:18.623459,2024-03-30T14:43:45.643398
34,Flavio Ybarra,fybarra891,fybarra891@gmail.com,EN VIVO,1,1,1,0,1,100.0,100.0,2024-02-07T01:43:04.154012,2024-03-30T02:39:46.376830
35,Pedro Armendáriz,parmendáriz778,parmendáriz778@outlook.com,GRABACIÓN,0,1,0,1,0,100.0,0.0,2024-02-05T12:27:08.860386,2024-04-01T12:57:05.782988
36,Gerónimo Macías,gmacías310,gmacías310@uady.mx,EN VIVO,1,1,1,0,1,100.0,100.0,2024-02-04T10:25:26.318558,2024-04-01T06:40:08.036848
37,Caridad Delgado,cdelgado13,cdelgado13@outlook.com,EN VIVO,0,1,1,0,0,100.0,0.0,2024-02-06T10:35:40.378948,2024-03-30T23:30:59.036569
38,Marco Antonio Segura,msegura944,msegura944@gmail.com,EN VIVO,0,1,1,0,0,100.0,0.0,2024-02-03T23:41:32.780230,2024-03-30T15:04:21.693768
39,Wilfrido Garza,wgarza633,wgarza633@hotmail.com,GRABACIÓN,1,1,0,1,1,100.0,100.0,2024-02-07T09:54:07.543481,2024-03-30T06:48:54.762643
40,Débora Velásquez,dvelásquez790,dvelásquez790@hotmail.com,EN VIVO,1,1,1,0,1,100.0,100.0,2024-02-03T13:33:46.993652,2024-04-02T20:51:08.881872
41,Fidel Pizarro,fpizarro341,fpizarro341@uady.mx,EN VIVO,0,1,1,0,0,100.0,0.0,2024-02-06T23:19:03.169576,2024-04-01T05:55:35.568313
42,Germán Reyes,greyes961,greyes961@outlook.com,EN VIVO,1,1,1,0,1,100.0,100.0,2024-02-03T19:34:42.767149,2024-04-02T05:19:38.447768
43,Jaime Roldán,jroldán69,jroldán69@hotmail.com,GRABACIÓN,1,1,0,1,1,100.0,100.0,2024-02-03T15:02:29.963900,2024-03-31T07:07:54.184343
44,Octavio Laureano,olaureano759,olaureano759@uady.mx,GRABACIÓN,1,1,0,1,1,100.0,100.0,2024-02-05T23:57:03.382194,2024-04-01T00:52:12.180583
45,Emiliano Chavarría,echavarría794,echavarría794@hotmail.com,GRABACIÓN,0,1,0,1,0,100.0,0.0,2024-02-07T09:52:31.016895,2024-04-01T10:57:54.372270
46,Cornelio Fonseca,cfonseca979,cfonseca979@itmerida.mx,SIN ASISTENCIA,0,0,0,0,0,0.0,0.0,2024-02-04T06:12:49.644471,2024-03-30T12:07:13.304116
47,Ángela Lugo,álugo550,álugo550@itmerida.mx,EN VIVO,1,1,1,0,1,100.0,100.0,2024-02-05T07:48:40.402130,2024-03-30T22:27:48.432588
48,Cristal de Jesús,cdejesús961,cdejesús961@itmerida.mx,EN VIVO,0,1,1,0,0,100.0,0.0,2024-02-06T08:31:56.706937,2024-04-01T11:58:21.601002
49,Elisa Cervántez,ecervántez418,ecervántez418@outlook.com,SIN ASISTENCIA,0,0,0,0,0,0.0,0.0,2024-02-05T05:04:50.574066,2024-04-02T16:10:02.228514
50,Emiliano Rodrígez,erodrígez472,erodrígez472@gmail.com,EN VIVO,1,1,1,0,1,100.0,100.0,2024-02-04T19:01:28.129236,2024-03-31T00:27:09.858335
51,Octavio Castro,ocastro75,ocastro75@outlook.com,GRABACIÓN,1,1,0,1,1,100.0,100.0,2024-02-07T06:29:59.107827,2024-03-30T03:57:41.696955
52,Barbara de la Fuente,bdelafuente577,bdelafuente577@hotmail.com,EN VIVO,0,1,1,0,0,100.0,0.0,2024-02-04T09:34:59.807825,2024-04-02T07:42:11.597725
53,Leonardo Benítez,lbenítez82,lbenítez82@gmail.com,SIN ASISTENCIA,1,0,0,0,1,0.0,100.0,2024-02-07T12:59:33.509494,2024-03-30T04:23:59.472976
54,Sonia Mondragón,smondragón937,smondragón937@gmail.com,GRABACIÓN,1,1,0,1,1,100.0,100.0,2024-02-07T02:01:54.921088,2024-04-01T11:53:22.876371
55,Marcela Roybal,mroybal536,mroybal536@hotmail.com,EN VIVO,0,1,1,0,0,100.0,0.0,2024-02-04T21:01:06.264656,2024-03-31T07:49:23.497491
56,Amanda Anaya,aanaya229,aanaya229@itmerida.mx,GRABACIÓN,1,1,0,1,1,100.0,100.0,2024-02-06T18:24:10.508359,2024-03-31T04:07:59.843302
57,Agustín Sierra,asierra600,asierra600@uady.mx,SIN ASISTENCIA,0,0,0,0,0,0.0,0.0,2024-02-05T02:53:18.178750,2024-04-01T14:23:27.451207
58,Irma Ramos,iramos836,iramos836@uady.mx,EN VIVO,0,1,1,0,0,100.0,0.0,2024-02-05T00:16:10.118650,2024-04-01T22:10:49.587211
59,María Luisa Tamez,mtamez109,mtamez109@uady.mx,GRABACIÓN,1,1,0,1,1,100.0,100.0,2024-02-05T07:14:55.123086,2024-04-02T21:04:31.167557
60,Juan Carlos Gálvez,jgálvez430,jgálvez430@uady.mx,EN VIVO,1,1,1,0,1,100.0,100.0,2024-02-05T17:11:38.591256,2024-04-03T00:44:03.352750
61,Silvano Gaytán,sgaytán72,sgaytán72@uady.mx,EN VIVO,0,1,1,0,0,100.0,0.0,2024-02-06T19:52:33.591756,2024-03-31T22:29:32.146177
62,Irma Candelaria,icandelaria264,icandelaria264@hotmail.com,SIN ASISTENCIA,1,0,0,0,1,0.0,100.0,2024-02-07T08:33:57.132599,2024-03-31T14:21:19.678217
63,Carlos Coronado,ccoronado469,ccoronado469@hotmail.com,GRABACIÓN,0,1,0,1,0,100.0,0.0,2024-02-06T21:36:14.652439,2024-03-31T17:26:23.866883
64,Clemente Camacho,ccamacho295,ccamacho295@uady.mx,GRABACIÓN,1,1,0,1,1,100.0,100.0,2024-02-04T13:56:37.958978,2024-04-02T22:49:56.877852
65,Cynthia Raya,craya463,craya463@itmerida.mx,EN VIVO,1,1,1,0,1,100.0,100.0,2024-02-04T21:26:36.250458,2024-03-31T17:38:37.490354
66,Rosalia Villalpando,rvillalpando677,rvillalpando677@itmerida.mx,GRABACIÓN,0,1,0,1,0,100.0,0.0,2024-02-05T17:17:38.213905,2024-03-30T04:39:30.137842
67,Horacio Becerra,hbecerra958,hbecerra958@hotmail.com,GRABACIÓN,0,1,0,1,0,100.0,0.0,2024-02-05T02:02:44.495578,2024-04-02T21:07:49.847553
68,Georgina Maestas,gmaestas507,gmaestas507@uady.mx,EN VIVO,0,1,1,0,0,100.0,0.0,2024-02-05T22:52:31.883138,2024-03-31T17:25:30.369572
69,Espartaco Girón,egirón934,egirón934@gmail.com,GRABACIÓN,1,1,0,1,1,100.0,100.0,2024-02-05T04:17:11.887635,2024-03-31T22:53:10.750121
70,Rodrigo Durán,rdurán12,rdurán12@uady.mx,GRABACIÓN,0,1,0,1,0,100.0,0.0,2024-02-06T04:29:41.677446,2024-04-02T08:46:36.861835
71,Concepción Urbina,curbina302,curbina302@uady.mx,GRABACIÓN,1,1,0,1,1,100.0,100.0,2024-02-06T15:08:12.738482,2024-03-30T06:21:19.288190
72,Camilo Figueroa,cfigueroa204,cfigueroa204@outlook.com,SIN ASISTENCIA,1,0,0,0,1,0.0,100.0,2024-02-07T13:14:00.552495,2024-03-30T09:15:10.897580
73,Cristina Cabán,ccabán603,ccabán603@itmerida.mx,SIN ASISTENCIA,0,0,0,0,0,0.0,0.0,2024-02-05T07:45:25.732571,2024-03-30T05:11:31.177622
74,Ivonne Lovato,ilovato68,ilovato68@gmail.com,EN VIVO,1,1,1,0,1,100.0,100.0,2024-02-04T02:09:42.113866,2024-04-02T01:06:06.376993
75,Débora Molina,dmolina951,dmolina951@itmerida.mx,GRABACIÓN,0,1,0,1,0,100.0,0.0,2024-02-05T21:56:13.826871,2024-03-30T12:30:22.322205
76,Isaac Ramón,iramón993,iramón993@itmerida.mx,EN VIVO,0,1,1,0,0,100.0,0.0,2024-02-03T14:43:47.826773,2024-04-01T13:59:54.595534
77,Micaela Olivera,molivera80,molivera80@itmerida.mx,EN VIVO,1,1,1,0,1,100.0,100.0,2024-02-05T21:14:25.857263,2024-03-31T01:04:52.511138
78,Tania Coronado,tcoronado423,tcoronado423@gmail.com,EN VIVO,1,1,1,0,1,100.0,100.0,2024-02-05T08:48:40.349064,2024-04-01T09:08:17.151212
79,Felipe Sotelo,fsotelo618,fsotelo618@gmail.com,GRABACIÓN,1,1,0,1,1,100.0,100.0,2024-02-06T01:50:13.000597,2024-04-01T18:18:17.151658
80,Jacinto Benavídez,jbenavídez683,jbenavídez683@itmerida.mx,GRABACIÓN,1,1,0,1,1,100.0,100.0,2024-02-05T14:06:38.704506,2024-04-02T04:19:58.661262
81,Inés Toro,itoro219,itoro219@outlook.com,GRABACIÓN,0,1,0,1,0,100.0,0.0,2024-02-06T00:40:19.698284,2024-04-01T16:18:41.222060
82,Andrés Arredondo,aarredondo415,aarredondo415@hotmail.com,GRABACIÓN,1,1,0,1,1,100.0,100.0,2024-02-06T00:54:08.264726,2024-04-01T08:01:59.678123
83,Jorge del Río,jdelrío333,jdelrío333@gmail.com,EN VIVO,1,1,1,0,1,100.0,100.0,2024-02-06T09:48:43.212444,2024-04-01T05:36:43.496459
84,Pedro Rico,prico646,prico646@itmerida.mx,GRABACIÓN,0,1,0,1,0,100.0,0.0,2024-02-06T18:16:01.891149,2024-03-31T23:05:46.761470
85,María del Carmen Cotto,mcotto560,mcotto560@hotmail.com,EN VIVO,1,1,1,0,1,100.0,100.0,2024-02-04T01:50:01.146021,2024-04-02T21:56:41.509283
86,Carla Vázquez,cvázquez965,cvázquez965@outlook.com,GRABACIÓN,1,1,0,1,1,100.0,100.0,2024-02-07T10:41:07.517778,2024-04-01T23:59:20.331295
87,Bruno Zelaya,bzelaya388,bzelaya388@outlook.com,EN VIVO,1,1,1,0,1,100.0,100.0,2024-02-06T05:37:32.049998,2024-04-02T08:35:37.724166
88,Vanesa Chapa,vchapa863,vchapa863@itmerida.mx,EN VIVO,1,1,1,0,1,100.0,100.0,2024-02-03T16:42:27.991574,2024-04-02T13:11:33.973583
89,Espartaco Lucero,elucero836,elucero836@itmerida.mx,GRABACIÓN,1,1,0,1,1,100.0,100.0,2024-02-07T02:06:51.675611,2024-03-30T15:05:46.184633
90,Ricardo de Anda,rdeanda316,rdeanda316@gmail.com,EN VIVO,1,1,1,0,1,100.0,100.0,2024-02-03T23:39:14.355788,2024-03-31T19:34:21.784708
91,Zoé Osorio,zosorio128,zosorio128@gmail.com,GRABACIÓN,1,1,0,1,1,100.0,100.0,2024-02-05T05:41:23.216699,2024-03-31T12:25:22.959992
92,Carla Nieto,cnieto298,cnieto298@itmerida.mx,EN VIVO,1,1,1,0,1,100.0,100.0,2024-02-07T04:32:32.510968,2024-03-31T20:16:05.186211
93,Frida Madrid,fmadrid218,fmadrid218@outlook.com,SIN ASISTENCIA,1,0,0,0,1,0.0,100.0,2024-02-03T22:39:07.651998,2024-04-02T20:01:29.733149
94,Jacinto Pedroza,jpedroza937,jpedroza937@gmail.com,EN VIVO,1,1,1,0,1,100.0,100.0,2024-02-04T01:48:55.915787,2024-04-01T15:28:33.692366
95,Beatriz Gamboa,bgamboa859,bgamboa859@outlook.com,EN VIVO,1,1,1,0,1,100.0,100.0,2024-02-06T13:59:37.298640,2024-04-01T02:36:40.127775
96,Soledad Muñoz,smuñoz351,smuñoz351@hotmail.com,EN VIVO,1,1,1,0,1,100.0,100.0,2024-02-04T10:56:58.208441,2024-03-30T15:34:06.194957
97,Alta  Gracia Guerrero,aguerrero769,aguerrero769@uady.mx,GRABACIÓN,1,1,0,1,1,100.0,100.0,2024-02-03T23:40:11.996038,2024-03-30T16:43:05.050064
98,Francisco Alvarez,falvarez19,falvarez19@gmail.com,EN VIVO,1,1,1,0,1,100.0,100.0,2024-02-06T14:15:58.022651,2024-03-30T13:02:31.305992
99,Alejandro Delgado,adelgado568,adelgado568@gmail.com,EN VIVO,0,1,1,0,0,100.0,0.0,2024-02-06T11:26:28.831905,2024-03-31T21:55:30.604766
100,Noelia Cardona,ncardona575,ncardona575@hotmail.com,GRABACIÓN,0,1,0,1,0,100.0,0.0,2024-02-03T17:51:44.659866,2024-04-01T00:48:27.258282
101,Esperanza Benavides,ebenavides52,ebenavides52@outlook.com,SIN ASISTENCIA,1,0,0,0,1,0.0,100.0,2024-02-03T17:42:47.270108,2024-04-01T16:48:25.101889
102,Federico Carrero,fcarrero930,fcarrero930@outlook.com,SIN ASISTENCIA,0,0,0,0,0,0.0,0.0,2024-02-03T16:32:23.465681,2024-03-30T03:57:20.125426
103,Bianca Corral,bcorral692,bcorral692@gmail.com,EN VIVO,1,1,1,0,1,100.0,100.0,2024-02-04T22:11:08.048738,2024-03-31T19:11:21.267011
104,Violeta Piña,vpiña915,vpiña915@uady.mx,GRABACIÓN,0,1,0,1,0,100.0,0.0,2024-02-06T22:46:24.969971,2024-04-01T18:29:26.773430
105,Manuel Correa,mcorrea895,mcorrea895@hotmail.com,EN VIVO,1,1,1,0,1,100.0,100.0,2024-02-04T20:15:30.343772,2024-03-30T07:41:19.768589
106,Rocío Valdés,rvaldés35,rvaldés35@hotmail.com,EN VIVO,1,1,1,0,1,100.0,100.0,2024-02-04T05:11:28.489172,2024-04-02T04:24:34.134854
107,Ángel Bustos,ábustos831,ábustos831@hotmail.com,GRABACIÓN,1,1,0,1,1,100.0,100.0,2024-02-06T18:16:05.072881,2024-04-01T03:53:24.617874
108,Yuridia Bonilla,ybonilla816,ybonilla816@gmail.com,EN VIVO,0,1,1,0,0,100.0,0.0,2024-02-06T05:22:27.823518,2024-04-01T23:01:55.980881
109,Citlali Zamudio,czamudio889,czamudio889@uady.mx,EN VIVO,0,1,1,0,0,100.0,0.0,2024-02-05T17:45:23.798158,2024-03-30T18:10:36.543813
110,Santiago Menchaca,smenchaca846,smenchaca846@uady.mx,SIN ASISTENCIA,1,0,0,0,1,0.0,100.0,2024-02-05T00:51:41.380743,2024-04-02T06:33:51.057355
111,Wendolin Moreno,wmoreno850,wmoreno850@hotmail.com,SIN ASISTENCIA,0,0,0,0,0,0.0,0.0,2024-02-06T19:15:01.505517,2024-03-30T04:05:41.544836
112,Delia Longoria,dlongoria685,dlongoria685@hotmail.com,SIN ASISTENCIA,0,0,0,0,0,0.0,0.0,2024-02-04T11:45:26.920968,2024-03-31T03:42:05.321046
113,Wilfrido Mojica,wmojica295,wmojica295@gmail.com,GRABACIÓN,1,1,0,1,1,100.0,100.0,2024-02-05T17:46:17.512180,2024-04-01T08:58:06.440899
114,Ignacio Gracia,igracia666,igracia666@itmerida.mx,EN VIVO,1,1,1,0,1,100.0,100.0,2024-02-05T03:20:57.463051,2024-04-01T21:56:03.215843
115,Marisol Venegas,mvenegas349,mvenegas349@gmail.com,EN VIVO,0,1,1,0,0,100.0,0.0,2024-02-03T14:59:41.664190,2024-04-01T14:20:01.007808
116,Salma Madrigal,smadrigal192,smadrigal192@itmerida.mx,EN VIVO,0,1,1,0,0,100.0,0.0,2024-02-05T05:04:30.874761,2024-03-30T09:30:21.465284
117,María Luisa Arguello,marguello121,marguello121@itmerida.mx,GRABACIÓN,1,1,0,1,1,100.0,100.0,2024-02-05T11:43:10.342831,2024-03-31T13:32:28.448758
118,Liliana Covarrubias,lcovarrubias756,lcovarrubias756@outlook.com,EN VIVO,1,1,1,0,1,100.0,100.0,2024-02-04T06:06:06.735012,2024-03-31T03:32:46.052194
119,Úrsula Zavala,úzavala533,úzavala533@gmail.com,EN VIVO,1,1,1,0,1,100.0,100.0,2024-02-05T01:43:18.992528,2024-04-02T08:50:21.136386
120,Alicia Cavazos,acavazos204,acavazos204@outlook.com,GRABACIÓN,0,1,0,1,0,100.0,0.0,2024-02-03T13:10:24.478786,2024-04-02T10:13:01.618576
