id,name,username,email,sesion_1,sesion_2,sesion_3,sesion_4,sesion_5,sesion_6,sesion_7,sesion_8,trabajo_1,trabajo_2,trabajo_3,trabajo_4,sesiones_asistidas,sesiones_en_vivo,sesiones_grabacion,trabajos_entregados,pct_asistencia,pct_entrega,primera_actividad,ultima_actividad
24,Jacobo Báez,jbáez77,jbáez77@hotmail.com,SIN ASISTENCIA,GRABACIÓN,SIN ASISTENCIA,SIN ASISTENCIA,EN VIVO,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,0,1,0,1,2,1,1,2,25.0,50.0,2024-02-06T15:44:20.006023,2024-04-02T06:05:02.996888
25,Mónica Villegas,mvillegas681,mvillegas681@uady.mx,GRABACIÓN,EN VIVO,EN VIVO,SIN ASISTENCIA,EN VIVO,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,1,1,0,0,4,3,1,2,50.0,50.0,2024-02-04T18:19:23.764475,2024-04-01T05:07:15.323760
26,Marisol Camarillo,mcamarillo156,mcamarillo156@outlook.com,SIN ASISTENCIA,SIN ASISTENCIA,GRABACIÓN,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,0,1,0,0,1,0,1,1,12.5,25.0,2024-02-05T17:09:43.471254,2024-04-01T16:59:58.996226
27,Tomás Tafoya,ttafoya772,ttafoya772@itmerida.mx,SIN ASISTENCIA,SIN ASISTENCIA,GRABACIÓN,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,0,0,1,1,1,0,1,2,12.5,50.0,2024-02-06T22:59:07.206642,2024-04-01T13:12:46.705159
28,Sandra Jaime,sjaime448,sjaime448@itmerida.mx,GRABACIÓN,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,EN VIVO,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,1,0,0,0,2,1,1,1,25.0,25.0,2024-02-06T12:53:45.632686,2024-03-30T19:09:32.427747
29,Francisco Javier Benítez,fbenítez234,fbenítez234@hotmail.com,SIN ASISTENCIA,EN VIVO,GRABACIÓN,EN VIVO,GRABACIÓN,SIN ASISTENCIA,GRABACIÓN,SIN ASISTENCIA,1,1,0,1,5,2,3,3,62.5,75.0,2024-02-06T11:59:05.374608,2024-04-02T16:31:46.241558
30,Araceli Gaitán,agaitán783,agaitán783@gmail.com,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,EN VIVO,SIN ASISTENCIA,0,0,0,0,1,1,0,0,12.5,0.0,2024-02-04T10:40:02.088662,2024-04-02T04:45:29.162245
31,Jacinto Granado,jgranado652,jgranado652@hotmail.com,EN VIVO,SIN ASISTENCIA,GRABACIÓN,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,0,0,0,0,2,1,1,0,25.0,0.0,2024-02-05T05:44:01.097028,2024-04-01T15:04:07.158351
32,Flavio Olivas,folivas75,folivas75@uady.mx,GRABACIÓN,SIN ASISTENCIA,SIN ASISTENCIA,EN VIVO,SIN ASISTENCIA,GRABACIÓN,SIN ASISTENCIA,SIN ASISTENCIA,0,1,1,0,3,1,2,2,37.5,50.0,2024-02-06T12:30:33.012459,2024-04-02T01:11:56.893270
33,Claudia Terán,cterán489,cterán489@itmerida.mx,SIN ASISTENCIA,SIN ASISTENCIA,EN VIVO,SIN ASISTENCIA,EN VIVO,GRABACIÓN,SIN ASISTENCIA,SIN ASISTENCIA,0,0,1,0,3,2,1,1,37.5,25.0,2024-02-05T06:34:56.874489,2024-04-01T11:45:37.024649
34,Flavio Ybarra,fybarra891,fybarra891@gmail.com,SIN ASISTENCIA,GRABACIÓN,SIN ASISTENCIA,GRABACIÓN,SIN ASISTENCIA,SIN ASISTENCIA,GRABACIÓN,GRABACIÓN,0,1,0,0,4,0,4,1,50.0,25.0,2024-02-06T18:23:50.976543,2024-04-01T00:38:14.664208
35,Pedro Armendáriz,parmendáriz778,parmendáriz778@outlook.com,SIN ASISTENCIA,EN VIVO,SIN ASISTENCIA,SIN ASISTENCIA,EN VIVO,SIN ASISTENCIA,SIN ASISTENCIA,EN VIVO,0,0,0,0,3,3,0,0,37.5,0.0,2024-02-03T18:28:03.756534,2024-04-02T16:05:09.867989
36,Gerónimo Macías,gmacías310,gmacías310@uady.mx,EN VIVO,GRABACIÓN,SIN ASISTENCIA,SIN ASISTENCIA,EN VIVO,EN VIVO,SIN ASISTENCIA,SIN ASISTENCIA,1,1,0,0,4,3,1,2,50.0,50.0,2024-02-04T03:33:53.995674,2024-04-02T01:37:31.383530
37,Caridad Delgado,cdelgado13,cdelgado13@outlook.com,GRABACIÓN,EN VIVO,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,0,1,0,0,2,1,1,1,25.0,25.0,2024-02-05T21:19:11.436913,2024-03-31T23:06:13.825494
38,Marco Antonio Segura,msegura944,msegura944@gmail.com,EN VIVO,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,0,0,1,0,1,1,0,1,12.5,25.0,2024-02-03T19:28:14.881707,2024-04-02T04:39:55.065588
39,Wilfrido Garza,wgarza633,wgarza633@hotmail.com,GRABACIÓN,EN VIVO,EN VIVO,SIN ASISTENCIA,SIN ASISTENCIA,GRABACIÓN,SIN ASISTENCIA,SIN ASISTENCIA,1,0,0,0,4,2,2,1,50.0,25.0,2024-02-07T00:38:13.731970,2024-04-01T18:25:14.208218
40,Débora Velásquez,dvelásquez790,dvelásquez790@hotmail.com,EN VIVO,SIN ASISTENCIA,SIN ASISTENCIA,EN VIVO,EN VIVO,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,1,0,0,0,3,3,0,1,37.5,25.0,2024-02-03T19:22:34.726077,2024-04-02T19:54:49.132333
41,Fidel Pizarro,fpizarro341,fpizarro341@uady.mx,GRABACIÓN,SIN ASISTENCIA,EN VIVO,GRABACIÓN,SIN ASISTENCIA,SIN ASISTENCIA,EN VIVO,EN VIVO,0,0,0,0,5,3,2,0,62.5,0.0,2024-02-03T20:31:15.046111,2024-04-02T18:01:58.883719
42,Germán Reyes,greyes961,greyes961@outlook.com,EN VIVO,EN VIVO,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,EN VIVO,1,0,0,1,3,3,0,2,37.5,50.0,2024-02-05T06:20:06.624352,2024-04-01T23:01:02.144018
43,Jaime Roldán,jroldán69,jroldán69@hotmail.com,GRABACIÓN,GRABACIÓN,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,0,0,0,0,2,0,2,0,25.0,0.0,2024-02-03T19:38:52.225962,2024-04-02T06:07:00.382441
44,Octavio Laureano,olaureano759,olaureano759@uady.mx,EN VIVO,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,0,0,0,1,1,1,0,1,12.5,25.0,2024-02-06T03:27:16.818112,2024-04-02T11:25:13.103003
45,Emiliano Chavarría,echavarría794,echavarría794@hotmail.com,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,GRABACIÓN,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,1,0,1,0,1,0,1,2,12.5,50.0,2024-02-05T16:28:57.599260,2024-03-30T21:32:20.329722
46,Cornelio Fonseca,cfonseca979,cfonseca979@itmerida.mx,GRABACIÓN,SIN ASISTENCIA,SIN ASISTENCIA,EN VIVO,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,0,0,0,0,2,1,1,0,25.0,0.0,2024-02-07T04:03:20.515782,2024-04-01T01:09:06.171182
47,Ángela Lugo,álugo550,álugo550@itmerida.mx,SIN ASISTENCIA,EN VIVO,SIN ASISTENCIA,EN VIVO,SIN ASISTENCIA,SIN ASISTENCIA,GRABACIÓN,SIN ASISTENCIA,1,1,0,1,3,2,1,3,37.5,75.0,2024-02-06T15:25:35.512504,2024-04-02T17:00:14.854651
48,Cristal de Jesús,cdejesús961,cdejesús961@itmerida.mx,GRABACIÓN,GRABACIÓN,GRABACIÓN,SIN ASISTENCIA,SIN ASISTENCIA,EN VIVO,GRABACIÓN,SIN ASISTENCIA,0,1,0,0,5,1,4,1,62.5,25.0,2024-02-03T20:28:09.112484,2024-04-02T10:52:40.532292
49,Elisa Cervántez,ecervántez418,ecervántez418@outlook.com,GRABACIÓN,SIN ASISTENCIA,EN VIVO,SIN ASISTENCIA,GRABACIÓN,SIN ASISTENCIA,SIN ASISTENCIA,EN VIVO,0,0,0,0,4,2,2,0,50.0,0.0,2024-02-03T16:48:07.248801,2024-04-02T12:50:44.105742
50,Emiliano Rodrígez,erodrígez472,erodrígez472@gmail.com,EN VIVO,SIN ASISTENCIA,EN VIVO,EN VIVO,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,GRABACIÓN,0,1,0,0,4,3,1,1,50.0,25.0,2024-02-06T07:42:24.765583,2024-04-01T14:37:08.707922
51,Octavio Castro,ocastro75,ocastro75@outlook.com,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,GRABACIÓN,SIN ASISTENCIA,SIN ASISTENCIA,0,0,0,1,1,0,1,1,12.5,25.0,2024-02-04T10:00:25.618957,2024-04-02T05:47:16.933952
52,Barbara de la Fuente,bdelafuente577,bdelafuente577@hotmail.com,SIN ASISTENCIA,SIN ASISTENCIA,EN VIVO,SIN ASISTENCIA,GRABACIÓN,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,0,0,0,1,2,1,1,1,25.0,25.0,2024-02-04T17:25:58.082589,2024-04-01T23:46:40.477451
53,Leonardo Benítez,lbenítez82,lbenítez82@gmail.com,SIN ASISTENCIA,SIN ASISTENCIA,EN VIVO,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,1,0,0,0,1,1,0,1,12.5,25.0,2024-02-05T18:54:32.972736,2024-03-30T18:33:33.252403
54,Sonia Mondragón,smondragón937,smondragón937@gmail.com,SIN ASISTENCIA,EN VIVO,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,0,0,0,1,1,1,0,1,12.5,25.0,2024-02-05T11:42:12.299376,2024-04-02T11:25:58.986104
55,Marcela Roybal,mroybal536,mroybal536@hotmail.com,SIN ASISTENCIA,EN VIVO,GRABACIÓN,GRABACIÓN,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,0,0,0,1,3,1,2,1,37.5,25.0,2024-02-06T20:26:53.405303,2024-04-02T16:09:07.659170
56,Amanda Anaya,aanaya229,aanaya229@itmerida.mx,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,1,0,0,0,0,0,0,1,0.0,25.0,2024-02-04T21:36:24.587186,2024-04-01T19:08:30.223731
57,Agustín Sierra,asierra600,asierra600@uady.mx,EN VIVO,EN VIVO,EN VIVO,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,0,0,0,0,3,3,0,0,37.5,0.0,2024-02-06T18:45:47.324985,2024-04-01T10:24:45.303463
58,Irma Ramos,iramos836,iramos836@uady.mx,EN VIVO,SIN ASISTENCIA,EN VIVO,SIN ASISTENCIA,EN VIVO,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,0,0,0,1,3,3,0,1,37.5,25.0,2024-02-04T11:51:36.467670,2024-03-31T08:49:27.131381
59,María Luisa Tamez,mtamez109,mtamez109@uady.mx,SIN ASISTENCIA,EN VIVO,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,EN VIVO,0,1,0,0,2,2,0,1,25.0,25.0,2024-02-07T10:46:02.673358,2024-03-31T22:05:52.547128
60,Juan Carlos Gálvez,jgálvez430,jgálvez430@uady.mx,SIN ASISTENCIA,GRABACIÓN,SIN ASISTENCIA,SIN ASISTENCIA,EN VIVO,SIN ASISTENCIA,SIN ASISTENCIA,EN VIVO,0,1,1,1,3,2,1,3,37.5,75.0,2024-02-07T09:25:01.076454,2024-04-01T19:39:48.227082
61,Silvano Gaytán,sgaytán72,sgaytán72@uady.mx,EN VIVO,EN VIVO,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,1,0,1,0,2,2,0,2,25.0,50.0,2024-02-05T09:23:29.469107,2024-04-01T23:28:18.846073
62,Irma Candelaria,icandelaria264,icandelaria264@hotmail.com,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,0,0,0,0,0,0,0,0,0.0,0.0,2024-02-07T11:32:08.474778,2024-04-01T16:54:15.375873
63,Carlos Coronado,ccoronado469,ccoronado469@hotmail.com,GRABACIÓN,GRABACIÓN,SIN ASISTENCIA,SIN ASISTENCIA,EN VIVO,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,0,1,0,0,3,1,2,1,37.5,25.0,2024-02-05T17:23:11.128004,2024-04-02T11:55:04.807376
64,Clemente Camacho,ccamacho295,ccamacho295@uady.mx,EN VIVO,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,1,0,0,1,1,1,0,2,12.5,50.0,2024-02-06T23:23:43.913388,2024-04-03T00:22:32.870831
65,Cynthia Raya,craya463,craya463@itmerida.mx,GRABACIÓN,EN VIVO,SIN ASISTENCIA,EN VIVO,SIN ASISTENCIA,EN VIVO,SIN ASISTENCIA,SIN ASISTENCIA,1,1,0,1,4,3,1,3,50.0,75.0,2024-02-07T04:27:55.330541,2024-04-01T10:38:11.430798
66,Rosalia Villalpando,rvillalpando677,rvillalpando677@itmerida.mx,EN VIVO,EN VIVO,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,1,1,0,0,2,2,0,2,25.0,50.0,2024-02-05T00:26:09.091402,2024-04-02T06:32:26.799501
67,Horacio Becerra,hbecerra958,hbecerra958@hotmail.com,SIN ASISTENCIA,GRABACIÓN,GRABACIÓN,GRABACIÓN,GRABACIÓN,SIN ASISTENCIA,GRABACIÓN,SIN ASISTENCIA,1,1,0,0,5,0,5,2,62.5,50.0,2024-02-04T01:07:57.263890,2024-04-02T15:49:57.146592
68,Georgina Maestas,gmaestas507,gmaestas507@uady.mx,EN VIVO,EN VIVO,SIN ASISTENCIA,EN VIVO,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,1,0,0,0,3,3,0,1,37.5,25.0,2024-02-04T10:07:35.741300,2024-03-31T00:54:06.986893
69,Espartaco Girón,egirón934,egirón934@gmail.com,SIN ASISTENCIA,EN VIVO,GRABACIÓN,EN VIVO,SIN ASISTENCIA,SIN ASISTENCIA,EN VIVO,EN VIVO,0,1,0,1,5,4,1,2,62.5,50.0,2024-02-07T11:02:37.012254,2024-04-01T03:21:39.183615
70,Rodrigo Durán,rdurán12,rdurán12@uady.mx,EN VIVO,GRABACIÓN,EN VIVO,SIN ASISTENCIA,EN VIVO,SIN ASISTENCIA,EN VIVO,SIN ASISTENCIA,1,0,0,0,5,4,1,1,62.5,25.0,2024-02-04T07:28:49.403285,2024-04-02T08:55:49.192542
71,Concepción Urbina,curbina302,curbina302@uady.mx,SIN ASISTENCIA,SIN ASISTENCIA,EN VIVO,SIN ASISTENCIA,SIN ASISTENCIA,GRABACIÓN,SIN ASISTENCIA,SIN ASISTENCIA,1,0,1,0,2,1,1,2,25.0,50.0,2024-02-05T06:47:34.200147,2024-04-02T10:08:48.472265
72,Camilo Figueroa,cfigueroa204,cfigueroa204@outlook.com,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,1,0,0,0,0,0,0,1,0.0,25.0,2024-02-07T04:34:44.615859,2024-03-30T19:26:30.714589
73,Cristina Cabán,ccabán603,ccabán603@itmerida.mx,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,EN VIVO,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,0,0,1,0,1,1,0,1,12.5,25.0,2024-02-04T03:26:18.326419,2024-04-01T21:23:48.685801
74,Ivonne Lovato,ilovato68,ilovato68@gmail.com,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,EN VIVO,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,GRABACIÓN,0,0,1,0,2,1,1,1,25.0,25.0,2024-02-07T11:10:00.158423,2024-03-30T21:11:34.796912
75,Débora Molina,dmolina951,dmolina951@itmerida.mx,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,EN VIVO,SIN ASISTENCIA,SIN ASISTENCIA,0,0,0,0,1,1,0,0,12.5,0.0,2024-02-06T05:16:45.350681,2024-04-01T08:55:59.519669
76,Isaac Ramón,iramón993,iramón993@itmerida.mx,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,0,1,0,0,0,0,0,1,0.0,25.0,2024-02-05T23:38:36.003692,2024-03-31T23:51:29.249900
77,Micaela Olivera,molivera80,molivera80@itmerida.mx,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,GRABACIÓN,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,1,0,0,0,1,0,1,1,12.5,25.0,2024-02-03T23:44:50.247245,2024-04-02T03:49:02.024160
78,Tania Coronado,tcoronado423,tcoronado423@gmail.com,GRABACIÓN,EN VIVO,EN VIVO,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,0,0,0,0,3,2,1,0,37.5,0.0,2024-02-04T13:32:25.902649,2024-04-02T08:20:59.314901
79,Felipe Sotelo,fsotelo618,fsotelo618@gmail.com,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,GRABACIÓN,1,0,0,1,1,0,1,2,12.5,50.0,2024-02-06T02:50:08.732443,2024-04-01T21:25:32.774858
