id,name,username,email,sesion_1,sesion_2,sesion_3,sesion_4,trabajo_1,trabajo_2,sesiones_asistidas,sesiones_en_vivo,sesiones_grabacion,trabajos_entregados,pct_asistencia,pct_entrega,primera_actividad,ultima_actividad
15,Indira Barrientos,ibarrientos56,ibarrientos56@hotmail.com,GRABACIÓN,EN VIVO,SIN ASISTENCIA,EN VIVO,0,0,3,2,1,0,75.0,0.0,2024-02-06T19:13:03.393192,2024-04-02T09:38:20.128802
16,Zacarías Ozuna,zozuna885,zozuna885@hotmail.com,GRABACIÓN,GRABACIÓN,GRABACIÓN,SIN ASISTENCIA,0,0,3,0,3,0,75.0,0.0,2024-02-06T07:56:24.557020,2024-04-01T10:09:48.513282
17,Maximiliano Villalobos,mvillalobos294,mvillalobos294@uady.mx,EN VIVO,EN VIVO,EN VIVO,SIN ASISTENCIA,0,0,3,3,0,0,75.0,0.0,2024-02-04T00:18:18.417474,2024-03-31T19:53:27.755793
18,Nicolás Leiva,nleiva389,nleiva389@outlook.com,SIN ASISTENCIA,EN VIVO,SIN ASISTENCIA,SIN ASISTENCIA,1,1,1,1,0,2,25.0,100.0,2024-02-04T17:45:53.920404,2024-04-01T03:23:58.289892
19,Eloisa Moreno,emoreno728,emoreno728@gmail.com,SIN ASISTENCIA,EN VIVO,GRABACIÓN,SIN ASISTENCIA,0,0,2,1,1,0,50.0,0.0,2024-02-05T17:37:47.264998,2024-04-01T12:21:51.665598
20,Flavio Guzmán,fguzmán756,fguzmán756@hotmail.com,SIN ASISTENCIA,EN VIVO,GRABACIÓN,SIN ASISTENCIA,0,1,2,1,1,1,50.0,50.0,2024-02-05T07:59:44.264861,2024-04-02T06:42:47.763521
21,Eduardo Quintero,equintero398,equintero398@outlook.com,GRABACIÓN,SIN ASISTENCIA,SIN ASISTENCIA,GRABACIÓN,0,0,2,0,2,0,50.0,0.0,2024-02-04T03:45:18.168699,2024-04-01T09:56:44.789746
22,Nicolás de la Crúz,ndelacrúz873,ndelacrúz873@gmail.com,SIN ASISTENCIA,SIN ASISTENCIA,EN VIVO,SIN ASISTENCIA,0,1,1,1,0,1,25.0,50.0,2024-02-05T12:11:26.993292,2024-03-31T10:56:30.358706
23,María Teresa Ruiz,mruiz834,mruiz834@outlook.com,EN VIVO,EN VIVO,GRABACIÓN,SIN ASISTENCIA,1,1,3,2,1,2,75.0,100.0,2024-02-04T12:09:53.258554,2024-03-31T06:35:57.698353
24,Jacobo Báez,jbáez77,jbáez77@hotmail.com,GRABACIÓN,EN VIVO,EN VIVO,SIN ASISTENCIA,1,1,3,2,1,2,75.0,100.0,2024-02-04T07:46:16.446344,2024-04-01T22:25:26.092803
25,Mónica Villegas,mvillegas681,mvillegas681@uady.mx,GRABACIÓN,SIN ASISTENCIA,GRABACIÓN,SIN ASISTENCIA,1,1,2,0,2,2,50.0,100.0,2024-02-04T17:47:15.825320,2024-03-31T20:13:16.931257
26,Marisol Camarillo,mcamarillo156,mcamarillo156@outlook.com,EN VIVO,GRABACIÓN,GRABACIÓN,GRABACIÓN,0,0,4,1,3,0,100.0,0.0,2024-02-04T20:09:47.268358,2024-04-01T14:12:43.464403
27,Tomás Tafoya,ttafoya772,ttafoya772@itmerida.mx,GRABACIÓN,GRABACIÓN,SIN ASISTENCIA,GRABACIÓN,1,1,3,0,3,2,75.0,100.0,2024-02-06T16:48:56.719182,2024-04-01T16:45:01.042215
28,Sandra Jaime,sjaime448,sjaime448@itmerida.mx,GRABACIÓN,EN VIVO,SIN ASISTENCIA,GRABACIÓN,0,0,3,1,2,0,75.0,0.0,2024-02-07T01:12:19.885260,2024-04-01T07:43:15.372129
29,Francisco Javier Benítez,fbenítez234,fbenítez234@hotmail.com,EN VIVO,EN VIVO,EN VIVO,EN VIVO,0,0,4,4,0,0,100.0,0.0,2024-02-04T12:25:28.917886,2024-04-01T15:14:02.042547
30,Araceli Gaitán,agaitán783,agaitán783@gmail.com,EN VIVO,EN VIVO,SIN ASISTENCIA,SIN ASISTENCIA,1,0,2,2,0,1,50.0,50.0,2024-02-05T05:00:24.374131,2024-04-01T17:28:10.714183
31,Jacinto Granado,jgranado652,jgranado652@hotmail.com,EN VIVO,GRABACIÓN,GRABACIÓN,SIN ASISTENCIA,1,0,3,1,2,1,75.0,50.0,2024-02-05T19:24:30.399825,2024-03-30T18:05:58.877827
32,Flavio Olivas,folivas75,folivas75@uady.mx,GRABACIÓN,GRABACIÓN,SIN ASISTENCIA,GRABACIÓN,1,0,3,0,3,1,75.0,50.0,2024-02-07T11:06:37.657952,2024-03-31T18:05:12.703971
33,Claudia Terán,cterán489,cterán489@itmerida.mx,EN VIVO,GRABACIÓN,SIN ASISTENCIA,SIN ASISTENCIA,1,1,2,1,1,2,50.0,100.0,2024-02-05T06:35:57.762602,2024-04-02T06:28:57.745849
34,Flavio Ybarra,fybarra891,fybarra891@gmail.com,EN VIVO,GRABACIÓN,SIN ASISTENCIA,EN VIVO,0,0,3,2,1,0,75.0,0.0,2024-02-06T15:05:05.451025,2024-04-01T01:36:45.631648
35,Pedro Armendáriz,parmendáriz778,parmendáriz778@outlook.com,EN VIVO,EN VIVO,GRABACIÓN,SIN ASISTENCIA,1,0,3,2,1,1,75.0,50.0,2024-02-04T04:11:32.003639,2024-04-02T08:18:43.874833
36,Gerónimo Macías,gmacías310,gmacías310@uady.mx,EN VIVO,EN VIVO,EN VIVO,SIN ASISTENCIA,1,1,3,3,0,2,75.0,100.0,2024-02-04T01:21:16.323981,2024-04-02T06:51:15.611712
37,Caridad Delgado,cdelgado13,cdelgado13@outlook.com,EN VIVO,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,0,1,1,1,0,1,25.0,50.0,2024-02-04T18:27:26.390385,2024-04-02T12:55:26.944532
38,Marco Antonio Segura,msegura944,msegura944@gmail.com,GRABACIÓN,SIN ASISTENCIA,EN VIVO,EN VIVO,1,1,3,2,1,2,75.0,100.0,2024-02-06T03:46:04.386877,2024-03-31T06:53:06.838532
39,Wilfrido Garza,wgarza633,wgarza633@hotmail.com,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,EN VIVO,1,1,1,1,0,2,25.0,100.0,2024-02-06T07:16:45.719903,2024-04-01T09:36:25.443675
40,Débora Velásquez,dvelásquez790,dvelásquez790@hotmail.com,EN VIVO,SIN ASISTENCIA,SIN ASISTENCIA,GRABACIÓN,1,0,2,1,1,1,50.0,50.0,2024-02-04T17:39:50.431934,2024-04-01T10:39:30.760949
41,Fidel Pizarro,fpizarro341,fpizarro341@uady.mx,GRABACIÓN,SIN ASISTENCIA,EN VIVO,SIN ASISTENCIA,0,0,2,1,1,0,50.0,0.0,2024-02-07T07:25:13.261772,2024-04-01T02:18:14.707057
42,Germán Reyes,greyes961,greyes961@outlook.com,EN VIVO,SIN ASISTENCIA,EN VIVO,SIN ASISTENCIA,0,0,2,2,0,0,50.0,0.0,2024-02-06T04:37:01.626152,2024-03-31T09:42:24.092646
43,Jaime Roldán,jroldán69,jroldán69@hotmail.com,GRABACIÓN,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,1,0,1,0,1,1,25.0,50.0,2024-02-07T06:03:48.033301,2024-04-02T00:43:59.891320
44,Octavio Laureano,olaureano759,olaureano759@uady.mx,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,GRABACIÓN,1,0,1,0,1,1,25.0,50.0,2024-02-05T11:06:34.083373,2024-04-01T06:06:11.481627
45,Emiliano Chavarría,echavarría794,echavarría794@hotmail.com,EN VIVO,EN VIVO,GRABACIÓN,SIN ASISTENCIA,1,0,3,2,1,1,75.0,50.0,2024-02-06T21:40:18.752930,2024-04-01T23:51:03.176343
46,Cornelio Fonseca,cfonseca979,cfonseca979@itmerida.mx,SIN ASISTENCIA,EN VIVO,SIN ASISTENCIA,SIN ASISTENCIA,1,0,1,1,0,1,25.0,50.0,2024-02-04T11:27:38.242878,2024-03-30T02:31:28.677703
47,Ángela Lugo,álugo550,álugo550@itmerida.mx,GRABACIÓN,EN VIVO,SIN ASISTENCIA,EN VIVO,1,0,3,2,1,1,75.0,50.0,2024-02-07T00:58:49.230149,2024-04-02T10:56:47.595722
48,Cristal de Jesús,cdejesús961,cdejesús961@itmerida.mx,EN VIVO,EN VIVO,SIN ASISTENCIA,EN VIVO,0,1,3,3,0,1,75.0,50.0,2024-02-05T14:23:45.700187,2024-03-30T08:41:27.321408
49,Elisa Cervántez,ecervántez418,ecervántez418@outlook.com,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,EN VIVO,0,1,1,1,0,1,25.0,50.0,2024-02-05T15:17:39.687466,2024-04-01T21:22:41.494654
50,Emiliano Rodrígez,erodrígez472,erodrígez472@gmail.com,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,1,0,0,0,0,1,0.0,50.0,2024-02-06T09:31:28.055420,2024-03-31T14:43:29.360030
51,Octavio Castro,ocastro75,ocastro75@outlook.com,GRABACIÓN,GRABACIÓN,GRABACIÓN,EN VIVO,1,1,4,1,3,2,100.0,100.0,2024-02-06T00:56:19.204178,2024-03-31T18:25:02.758792
52,Barbara de la Fuente,bdelafuente577,bdelafuente577@hotmail.com,EN VIVO,EN VIVO,EN VIVO,SIN ASISTENCIA,1,0,3,3,0,1,75.0,50.0,2024-02-04T19:32:02.965732,2024-04-01T03:55:32.516012
53,Leonardo Benítez,lbenítez82,lbenítez82@gmail.com,EN VIVO,GRABACIÓN,EN VIVO,SIN ASISTENCIA,1,0,3,2,1,1,75.0,50.0,2024-02-03T17:53:40.736834,2024-04-02T03:10:06.926324
54,Sonia Mondragón,smondragón937,smondragón937@gmail.com,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,EN VIVO,1,0,1,1,0,1,25.0,50.0,2024-02-04T06:10:00.633369,2024-04-02T04:44:27.903336
55,Marcela Roybal,mroybal536,mroybal536@hotmail.com,SIN ASISTENCIA,EN VIVO,SIN ASISTENCIA,SIN ASISTENCIA,0,0,1,1,0,0,25.0,0.0,2024-02-05T09:33:57.368518,2024-03-31T20:24:40.902344
56,Amanda Anaya,aanaya229,aanaya229@itmerida.mx,GRABACIÓN,SIN ASISTENCIA,GRABACIÓN,SIN ASISTENCIA,1,1,2,0,2,2,50.0,100.0,2024-02-06T06:39:57.320448,2024-04-02T02:03:06.650382
57,Agustín Sierra,asierra600,asierra600@uady.mx,EN VIVO,EN VIVO,GRABACIÓN,EN VIVO,0,1,4,3,1,1,100.0,50.0,2024-02-04T12:54:10.587607,2024-03-31T04:40:24.487772
58,Irma Ramos,iramos836,iramos836@uady.mx,EN VIVO,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,0,1,1,1,0,1,25.0,50.0,2024-02-05T09:20:26.155053,2024-04-01T13:59:29.401853
59,María Luisa Tamez,mtamez109,mtamez109@uady.mx,EN VIVO,EN VIVO,SIN ASISTENCIA,GRABACIÓN,1,1,3,2,1,2,75.0,100.0,2024-02-04T06:33:00.877228,2024-04-02T02:00:48.391983
60,Juan Carlos Gálvez,jgálvez430,jgálvez430@uady.mx,SIN ASISTENCIA,GRABACIÓN,SIN ASISTENCIA,SIN ASISTENCIA,1,1,1,0,1,2,25.0,100.0,2024-02-05T15:29:43.056234,2024-03-31T04:14:29.800411
61,Silvano Gaytán,sgaytán72,sgaytán72@uady.mx,EN VIVO,GRABACIÓN,SIN ASISTENCIA,EN VIVO,1,0,3,2,1,1,75.0,50.0,2024-02-04T00:32:15.073571,2024-04-02T19:33:36.794528
62,Irma Candelaria,icandelaria264,icandelaria264@hotmail.com,GRABACIÓN,EN VIVO,EN VIVO,SIN ASISTENCIA,1,0,3,2,1,1,75.0,50.0,2024-02-05T05:56:23.541356,2024-04-02T05:14:10.752721
63,Carlos Coronado,ccoronado469,ccoronado469@hotmail.com,SIN ASISTENCIA,GRABACIÓN,SIN ASISTENCIA,EN VIVO,0,0,2,1,1,0,50.0,0.0,2024-02-03T17:18:30.569705,2024-04-02T05:02:25.308929
64,Clemente Camacho,ccamacho295,ccamacho295@uady.mx,GRABACIÓN,EN VIVO,EN VIVO,EN VIVO,0,0,4,3,1,0,100.0,0.0,2024-02-04T01:46:10.722338,2024-04-02T18:09:24.169282
65,Cynthia Raya,craya463,craya463@itmerida.mx,SIN ASISTENCIA,GRABACIÓN,SIN ASISTENCIA,EN VIVO,0,1,2,1,1,1,50.0,50.0,2024-02-04T02:22:39.853045,2024-04-02T16:06:09.698389
66,Rosalia Villalpando,rvillalpando677,rvillalpando677@itmerida.mx,SIN ASISTENCIA,SIN ASISTENCIA,GRABACIÓN,SIN ASISTENCIA,1,1,1,0,1,2,25.0,100.0,2024-02-04T16:26:04.593863,2024-04-01T06:52:42.535670
67,Horacio Becerra,hbecerra958,hbecerra958@hotmail.com,EN VIVO,GRABACIÓN,SIN ASISTENCIA,SIN ASISTENCIA,1,0,2,1,1,1,50.0,50.0,2024-02-06T02:48:55.585699,2024-03-31T02:14:00.224749
68,Georgina Maestas,gmaestas507,gmaestas507@uady.mx,EN VIVO,EN VIVO,SIN ASISTENCIA,SIN ASISTENCIA,0,0,2,2,0,0,50.0,0.0,2024-02-07T00:45:28.714619,2024-04-02T21:23:48.317680
69,Espartaco Girón,egirón934,egirón934@gmail.com,EN VIVO,EN VIVO,SIN ASISTENCIA,SIN ASISTENCIA,1,0,2,2,0,1,50.0,50.0,2024-02-05T02:09:33.455360,2024-04-01T09:12:14.142477
70,Rodrigo Durán,rdurán12,rdurán12@uady.mx,GRABACIÓN,GRABACIÓN,SIN ASISTENCIA,EN VIVO,0,0,3,1,2,0,75.0,0.0,2024-02-06T20:04:35.510025,2024-04-01T13:01:00.521507
71,Concepción Urbina,curbina302,curbina302@uady.mx,EN VIVO,GRABACIÓN,EN VIVO,SIN ASISTENCIA,1,1,3,2,1,2,75.0,100.0,2024-02-06T10:33:58.470630,2024-04-03T00:20:39.370427
72,Camilo Figueroa,cfigueroa204,cfigueroa204@outlook.com,SIN ASISTENCIA,EN VIVO,SIN ASISTENCIA,SIN ASISTENCIA,1,1,1,1,0,2,25.0,100.0,2024-02-06T11:03:19.343290,2024-03-31T16:05:32.407050
73,Cristina Cabán,ccabán603,ccabán603@itmerida.mx,GRABACIÓN,GRABACIÓN,SIN ASISTENCIA,EN VIVO,0,0,3,1,2,0,75.0,0.0,2024-02-05T14:50:16.244215,2024-03-31T16:25:50.360016
74,Ivonne Lovato,ilovato68,ilovato68@gmail.com,EN VIVO,SIN ASISTENCIA,GRABACIÓN,SIN ASISTENCIA,1,0,2,1,1,1,50.0,50.0,2024-02-07T07:37:39.315161,2024-03-30T06:07:47.674810
75,Débora Molina,dmolina951,dmolina951@itmerida.mx,EN VIVO,EN VIVO,EN VIVO,EN VIVO,0,0,4,4,0,0,100.0,0.0,2024-02-05T17:37:37.901921,2024-04-01T21:37:12.487168
76,Isaac Ramón,iramón993,iramón993@itmerida.mx,EN VIVO,EN VIVO,GRABACIÓN,EN VIVO,1,1,4,3,1,2,100.0,100.0,2024-02-06T07:46:30.677539,2024-04-01T03:56:56.050666
77,Micaela Olivera,molivera80,molivera80@itmerida.mx,EN VIVO,SIN ASISTENCIA,SIN ASISTENCIA,EN VIVO,0,0,2,2,0,0,50.0,0.0,2024-02-05T20:45:44.977729,2024-04-02T09:52:04.314220
78,Tania Coronado,tcoronado423,tcoronado423@gmail.com,EN VIVO,GRABACIÓN,SIN ASISTENCIA,SIN ASISTENCIA,1,0,2,1,1,1,50.0,50.0,2024-02-04T10:48:58.544406,2024-03-31T13:36:23.609708
79,Felipe Sotelo,fsotelo618,fsotelo618@gmail.com,GRABACIÓN,GRABACIÓN,EN VIVO,SIN ASISTENCIA,1,0,3,1,2,1,75.0,50.0,2024-02-04T09:17:45.715808,2024-04-02T17:51:02.702483
80,Jacinto Benavídez,jbenavídez683,jbenavídez683@itmerida.mx,EN VIVO,SIN ASISTENCIA,GRABACIÓN,EN VIVO,1,0,3,2,1,1,75.0,50.0,2024-02-03T21:27:26.617221,2024-04-01T01:21:18.824754
81,Inés Toro,itoro219,itoro219@outlook.com,EN VIVO,GRABACIÓN,SIN ASISTENCIA,SIN ASISTENCIA,0,0,2,1,1,0,50.0,0.0,2024-02-06T15:00:46.247638,2024-04-01T05:27:21.631859
82,Andrés Arredondo,aarredondo415,aarredondo415@hotmail.com,SIN ASISTENCIA,EN VIVO,SIN ASISTENCIA,SIN ASISTENCIA,1,1,1,1,0,2,25.0,100.0,2024-02-06T18:36:26.972497,2024-04-01T08:54:56.366513
83,Jorge del Río,jdelrío333,jdelrío333@gmail.com,EN VIVO,EN VIVO,GRABACIÓN,SIN ASISTENCIA,1,0,3,2,1,1,75.0,50.0,2024-02-05T14:13:55.150583,2024-04-02T01:13:06.910594
84,Pedro Rico,prico646,prico646@itmerida.mx,EN VIVO,GRABACIÓN,SIN ASISTENCIA,SIN ASISTENCIA,0,1,2,1,1,1,50.0,50.0,2024-02-07T03:39:52.735403,2024-04-02T10:02:55.798112
85,María del Carmen Cotto,mcotto560,mcotto560@hotmail.com,GRABACIÓN,GRABACIÓN,GRABACIÓN,SIN ASISTENCIA,0,0,3,0,3,0,75.0,0.0,2024-02-06T19:11:52.111798,2024-03-30T19:59:54.488736
86,Carla Vázquez,cvázquez965,cvázquez965@outlook.com,EN VIVO,EN VIVO,SIN ASISTENCIA,SIN ASISTENCIA,0,1,2,2,0,1,50.0,50.0,2024-02-03T14:34:22.773966,2024-04-02T16:47:53.526721
87,Bruno Zelaya,bzelaya388,bzelaya388@outlook.com,EN VIVO,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,1,1,1,1,0,2,25.0,100.0,2024-02-03T23:02:39.780695,2024-04-02T17:53:27.926945
88,Vanesa Chapa,vchapa863,vchapa863@itmerida.mx,GRABACIÓN,SIN ASISTENCIA,SIN ASISTENCIA,EN VIVO,0,1,2,1,1,1,50.0,50.0,2024-02-07T06:25:28.674873,2024-04-02T14:45:57.198204
89,Espartaco Lucero,elucero836,elucero836@itmerida.mx,GRABACIÓN,EN VIVO,EN VIVO,SIN ASISTENCIA,1,0,3,2,1,1,75.0,50.0,2024-02-07T00:47:54.661436,2024-04-02T11:52:31.741425
90,Ricardo de Anda,rdeanda316,rdeanda316@gmail.com,EN VIVO,EN VIVO,EN VIVO,SIN ASISTENCIA,0,0,3,3,0,0,75.0,0.0,2024-02-03T21:09:02.434687,2024-03-30T17:10:41.701150
91,Zoé Osorio,zosorio128,zosorio128@gmail.com,EN VIVO,SIN ASISTENCIA,EN VIVO,SIN ASISTENCIA,1,0,2,2,0,1,50.0,50.0,2024-02-04T05:52:21.904718,2024-04-02T05:32:51.259460
92,Carla Nieto,cnieto298,cnieto298@itmerida.mx,EN VIVO,SIN ASISTENCIA,GRABACIÓN,GRABACIÓN,1,1,3,1,2,2,75.0,100.0,2024-02-04T13:30:19.862311,2024-03-31T10:08:13.961250
93,Frida Madrid,fmadrid218,fmadrid218@outlook.com,EN VIVO,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,0,0,1,1,0,0,25.0,0.0,2024-02-04T21:15:09.601720,2024-04-02T10:04:14.777920
94,Jacinto Pedroza,jpedroza937,jpedroza937@gmail.com,SIN ASISTENCIA,EN VIVO,SIN ASISTENCIA,EN VIVO,0,1,2,2,0,1,50.0,50.0,2024-02-06T17:54:30.389899,2024-04-02T21:29:14.040102
95,Beatriz Gamboa,bgamboa859,bgamboa859@outlook.com,EN VIVO,EN VIVO,SIN ASISTENCIA,EN VIVO,0,1,3,3,0,1,75.0,50.0,2024-02-05T01:06:10.225046,2024-04-01T08:59:30.988040
96,Soledad Muñoz,smuñoz351,smuñoz351@hotmail.com,EN VIVO,EN VIVO,SIN ASISTENCIA,SIN ASISTENCIA,0,1,2,2,0,1,50.0,50.0,2024-02-05T00:41:08.455740,2024-04-02T04:17:14.562780
97,Alta  Gracia Guerrero,aguerrero769,aguerrero769@uady.mx,EN VIVO,SIN ASISTENCIA,GRABACIÓN,SIN ASISTENCIA,0,0,2,1,1,0,50.0,0.0,2024-02-06T04:25:22.286750,2024-04-02T05:54:33.436389
98,Francisco Alvarez,falvarez19,falvarez19@gmail.com,EN VIVO,SIN ASISTENCIA,GRABACIÓN,SIN ASISTENCIA,1,0,2,1,1,1,50.0,50.0,2024-02-05T10:27:58.483256,2024-04-02T16:21:31.630781
99,Alejandro Delgado,adelgado568,adelgado568@gmail.com,EN VIVO,EN VIVO,SIN ASISTENCIA,EN VIVO,0,1,3,3,0,1,75.0,50.0,2024-02-04T07:16:15.309376,2024-04-01T08:43:34.606247
100,Noelia Cardona,ncardona575,ncardona575@hotmail.com,GRABACIÓN,GRABACIÓN,SIN ASISTENCIA,SIN ASISTENCIA,1,0,2,0,2,1,50.0,50.0,2024-02-03T15:19:23.877448,2024-04-02T05:31:00.314764
101,Esperanza Benavides,ebenavides52,ebenavides52@outlook.com,EN VIVO,GRABACIÓN,EN VIVO,SIN ASISTENCIA,0,0,3,2,1,0,75.0,0.0,2024-02-06T05:38:44.977715,2024-04-02T15:12:09.126833
102,Federico Carrero,fcarrero930,fcarrero930@outlook.com,SIN ASISTENCIA,SIN ASISTENCIA,SIN ASISTENCIA,EN VIVO,1,0,1,1,0,1,25.0,50.0,2024-02-05T22:33:58.963867,2024-04-02T04:47:21.394829
103,Bianca Corral,bcorral692,bcorral692@gmail.com,EN VIVO,SIN ASISTENCIA,EN VIVO,GRABACIÓN,1,0,3,2,1,1,75.0,50.0,2024-02-06T23:12:14.686614,2024-03-31T05:22:11.282022
104,Violeta Piña,vpiña915,vpiña915@uady.mx,GRABACIÓN,GRABACIÓN,GRABACIÓN,GRABACIÓN,1,0,4,0,4,1,100.0,50.0,2024-02-05T11:22:11.534572,2024-03-31T06:40:00.561615
105,Manuel Correa,mcorrea895,mcorrea895@hotmail.com,EN VIVO,EN VIVO,GRABACIÓN,GRABACIÓN,0,1,4,2,2,1,100.0,50.0,2024-02-05T22:38:24.330252,2024-04-01T11:14:06.593243
106,Rocío Valdés,rvaldés35,rvaldés35@hotmail.com,GRABACIÓN,EN VIVO,EN VIVO,SIN ASISTENCIA,0,0,3,2,1,0,75.0,0.0,2024-02-04T07:21:21.070816,2024-04-02T21:37:18.294164
107,Ángel Bustos,ábustos831,ábustos831@hotmail.com,SIN ASISTENCIA,SIN ASISTENCIA,GRABACIÓN,SIN ASISTENCIA,0,1,1,0,1,1,25.0,50.0,2024-02-04T20:37:07.108660,2024-03-31T23:37:33.353228
108,Yuridia Bonilla,ybonilla816,ybonilla816@gmail.com,SIN ASISTENCIA,GRABACIÓN,EN VIVO,SIN ASISTENCIA,0,1,2,1,1,1,50.0,50.0,2024-02-06T04:28:13.863471,2024-04-02T04:22:19.727712
109,Citlali Zamudio,czamudio889,czamudio889@uady.mx,EN VIVO,EN VIVO,GRABACIÓN,SIN ASISTENCIA,1,0,3,2,1,1,75.0,50.0,2024-02-03T20:34:58.034307,2024-04-02T08:11:47.110014
110,Santiago Menchaca,smenchaca846,smenchaca846@uady.mx,EN VIVO,EN VIVO,EN VIVO,EN VIVO,0,1,4,4,0,1,100.0,50.0,2024-02-05T14:27:54.342036,2024-04-02T09:46:19.227980
111,Wendolin Moreno,wmoreno850,wmoreno850@hotmail.com,EN VIVO,SIN ASISTENCIA,EN VIVO,GRABACIÓN,0,1,3,2,1,1,75.0,50.0,2024-02-05T06:45:05.168920,2024-04-02T15:25:59.531638
112,Delia Longoria,dlongoria685,dlongoria685@hotmail.com,EN VIVO,EN VIVO,SIN ASISTENCIA,GRABACIÓN,1,0,3,2,1,1,75.0,50.0,2024-02-06T18:05:16.001109,2024-04-01T17:41:10.855420
113,Wilfrido Mojica,wmojica295,wmojica295@gmail.com,EN VIVO,EN VIVO,SIN ASISTENCIA,SIN ASISTENCIA,1,0,2,2,0,1,50.0,50.0,2024-02-07T10:53:49.342827,2024-03-31T13:58:56.472234
